"범죄별","발생지역별","시점","범죄발생지역",
"인구(B)","대전","2016 년","1514370",
"인구(B)","대전","2017 년","1502227",
"인구(B)","대전","2018 년","1489936",
"인구(B)","대전","2019 년","1474870",
"인구(B)","대전","2020 년","1463882",
"인구(B)","울산","2014 년","1166377",
"인구(B)","울산","2015 년","1173534",
"인구(B)","울산","2016 년","1172304",
"인구(B)","울산","2017 년","1165132",
"인구(B)","울산","2018 년","1155623",
"인구(B)","울산","2019 년","1148019",
"인구(B)","울산","2020 년","1136017",
"인구(B)","세종","2014 년","156125",
"인구(B)","세종","2015 년","210884",
"인구(B)","세종","2016 년","243048",
"인구(B)","세종","2017 년","280100",
"인구(B)","세종","2018 년","314126",
"인구(B)","세종","2019 년","340575",
"인구(B)","세종","2020 년","355831",
"인구(B)","경기","2014 년","12357830",
"인구(B)","경기","2015 년","12522606",
"인구(B)","경기","2016 년","12716780",
"인구(B)","경기","2017 년","12873895",
"인구(B)","경기","2018 년","13077153",
"인구(B)","경기","2019 년","13239666",
"인구(B)","경기","2020 년","13427014",
"인구(B)","강원","2014 년","1544442",
"인구(B)","강원","2015 년","1549507",
"인구(B)","강원","2016 년","1550806",
"인구(B)","강원","2017 년","1550142",
"인구(B)","강원","2018 년","1543052",
"인구(B)","강원","2019 년","1541502",
"인구(B)","강원","2020 년","1542840",
"인구(B)","충북","2014 년","1578933",
"인구(B)","충북","2015 년","1583952",
"인구(B)","충북","2016 년","1591625",
"인구(B)","충북","2017 년","1594432",
"인구(B)","충북","2018 년","1599252",
"인구(B)","충북","2019 년","1600007",
"인구(B)","충북","2020 년","1600837",
"인구(B)","충남","2014 년","2062273",
"인구(B)","충남","2015 년","2077649",
"인구(B)","충남","2016 년","2096727",
"인구(B)","충남","2017 년","2116770",
"인구(B)","충남","2018 년","2126282",
"인구(B)","충남","2019 년","2123709",
"인구(B)","충남","2020 년","2121029",
"인구(B)","전북","2014 년","1871560",
"인구(B)","전북","2015 년","1869711",
"인구(B)","전북","2016 년","1864791",
"인구(B)","전북","2017 년","1854607",
"인구(B)","전북","2018 년","1836832",
"인구(B)","전북","2019 년","1818917",
"인구(B)","전북","2020 년","1804104",
"인구(B)","전남","2014 년","1905780",
"인구(B)","전남","2015 년","1908996",
"인구(B)","전남","2016 년","1903914",
"인구(B)","전남","2017 년","1896424",
"인구(B)","전남","2018 년","1882970",
"인구(B)","전남","2019 년","1868745",
"인구(B)","전남","2020 년","1851549",
"인구(B)","경북","2014 년","2700794",
"인구(B)","경북","2015 년","2702826",
"인구(B)","경북","2016 년","2700398",
"인구(B)","경북","2017 년","2691706",
"인구(B)","경북","2018 년","2676831",
"인구(B)","경북","2019 년","2665836",
"인구(B)","경북","2020 년","2639422",
"인구(B)","경남","2014 년","3350257",
"인구(B)","경남","2015 년","3364702",
"인구(B)","경남","2016 년","3373871",
"인구(B)","경남","2017 년","3380404",
"인구(B)","경남","2018 년","3373988",
"인구(B)","경남","2019 년","3362553",
"인구(B)","경남","2020 년","3340216",
"인구(B)","제주","2014 년","607346",
"인구(B)","제주","2015 년","624395",
"인구(B)","제주","2016 년","641597",
"인구(B)","제주","2017 년","657083",
"인구(B)","제주","2018 년","667191",
"인구(B)","제주","2019 년","670989",
"인구(B)","제주","2020 년","674635",
"A/Bⅹ100,000","계","2014 년","3768",
"A/Bⅹ100,000","계","2015 년","3922",
"A/Bⅹ100,000","계","2016 년","3884.8",
"A/Bⅹ100,000","계","2017 년","3524.4",
"A/Bⅹ100,000","계","2018 년","3353.9",
"A/Bⅹ100,000","계","2019 년","3409.2",
"A/Bⅹ100,000","계","2020 년","3308.1",
"A/Bⅹ100,000","서울","2014 년","3854",
"A/Bⅹ100,000","서울","2015 년","3856",
"A/Bⅹ100,000","서울","2016 년","3753.3",
"A/Bⅹ100,000","서울","2017 년","3575.7",
"A/Bⅹ100,000","서울","2018 년","3494.8",
"A/Bⅹ100,000","서울","2019 년","3499.8",
"A/Bⅹ100,000","서울","2020 년","3292.4",
"A/Bⅹ100,000","부산","2014 년","4204",
"A/Bⅹ100,000","부산","2015 년","4453",
"A/Bⅹ100,000","부산","2016 년","4117.1",
"A/Bⅹ100,000","부산","2017 년","3750",
"A/Bⅹ100,000","부산","2018 년","3667.9",
"A/Bⅹ100,000","부산","2019 년","3770.7",
"A/Bⅹ100,000","부산","2020 년","3764",
"A/Bⅹ100,000","대구","2014 년","4150",
"A/Bⅹ100,000","대구","2015 년","4330",
"A/Bⅹ100,000","대구","2016 년","3771.8",
"A/Bⅹ100,000","대구","2017 년","3324.2",
"A/Bⅹ100,000","대구","2018 년","3228.9",
"A/Bⅹ100,000","대구","2019 년","3400.5",
"A/Bⅹ100,000","대구","2020 년","3274.2",
"A/Bⅹ100,000","인천","2014 년","3578",
"A/Bⅹ100,000","인천","2015 년","3767",
"A/Bⅹ100,000","인천","2016 년","3723.3",
"A/Bⅹ100,000","인천","2017 년","3443.3",
"A/Bⅹ100,000","인천","2018 년","3201.9",
"A/Bⅹ100,000","인천","2019 년","3425.4",
"A/Bⅹ100,000","인천","2020 년","3273.7",
"A/Bⅹ100,000","광주","2014 년","4823",
"A/Bⅹ100,000","광주","2015 년","4560",
"A/Bⅹ100,000","광주","2016 년","4107.8",
"A/Bⅹ100,000","광주","2017 년","3731.9",
"A/Bⅹ100,000","광주","2018 년","3510",
"A/Bⅹ100,000","광주","2019 년","3627.1",
"A/Bⅹ100,000","광주","2020 년","3439.1",
"A/Bⅹ100,000","대전","2014 년","3279",
"A/Bⅹ100,000","대전","2015 년","3437",
"A/Bⅹ100,000","대전","2016 년","3413.7",
"A/Bⅹ100,000","대전","2017 년","3352.2",
"A/Bⅹ100,000","대전","2018 년","3234",
"A/Bⅹ100,000","대전","2019 년","3249.7",
"A/Bⅹ100,000","대전","2020 년","3207.9",
"A/Bⅹ100,000","울산","2014 년","3900",
"A/Bⅹ100,000","울산","2015 년","2915",
"A/Bⅹ100,000","울산","2016 년","2526.6",
"A/Bⅹ100,000","울산","2017 년","2279.4",
"A/Bⅹ100,000","울산","2018 년","2191.3",
"A/Bⅹ100,000","울산","2019 년","2248.6",
"A/Bⅹ100,000","울산","2020 년","2192.8",
"A/Bⅹ100,000","세종","2014 년","2381",
"A/Bⅹ100,000","세종","2015 년","1848",
"A/Bⅹ100,000","세종","2016 년","1959.3",
"A/Bⅹ100,000","세종","2017 년","1793.3",
"A/Bⅹ100,000","세종","2018 년","1697.1",
"A/Bⅹ100,000","세종","2019 년","1849.8",
"A/Bⅹ100,000","세종","2020 년","1869.1",
"A/Bⅹ100,000","경기","2014 년","3584",
"A/Bⅹ100,000","경기","2015 년","3777",
"A/Bⅹ100,000","경기","2016 년","4113.3",
"A/Bⅹ100,000","경기","2017 년","3572.3",
"A/Bⅹ100,000","경기","2018 년","3287.8",
"A/Bⅹ100,000","경기","2019 년","3274.2",
"A/Bⅹ100,000","경기","2020 년","3198.7",
"A/Bⅹ100,000","강원","2014 년","3805",
"A/Bⅹ100,000","강원","2015 년","4081",
"A/Bⅹ100,000","강원","2016 년","4177.2",
"A/Bⅹ100,000","강원","2017 년","3799.7",
"A/Bⅹ100,000","강원","2018 년","3402",
"A/Bⅹ100,000","강원","2019 년","3457",
"A/Bⅹ100,000","강원","2020 년","3340.9",
"A/Bⅹ100,000","충북","2014 년","3511",
"A/Bⅹ100,000","충북","2015 년","3680",
"A/Bⅹ100,000","충북","2016 년","3880.2",
"A/Bⅹ100,000","충북","2017 년","3571.4",
"A/Bⅹ100,000","충북","2018 년","3355.3",
"A/Bⅹ100,000","충북","2019 년","3362.5",
"A/Bⅹ100,000","충북","2020 년","3226.1",
"A/Bⅹ100,000","충남","2014 년","3743",
"A/Bⅹ100,000","충남","2015 년","3947",
"A/Bⅹ100,000","충남","2016 년","3726.2",
"A/Bⅹ100,000","충남","2017 년","3485.1",
"A/Bⅹ100,000","충남","2018 년","3546.3",
"A/Bⅹ100,000","충남","2019 년","3475.9",
"A/Bⅹ100,000","충남","2020 년","3387.4",
"A/Bⅹ100,000","전북","2014 년","3350",
"A/Bⅹ100,000","전북","2015 년","3513",
"A/Bⅹ100,000","전북","2016 년","3346.5",
"A/Bⅹ100,000","전북","2017 년","3086.3",
"A/Bⅹ100,000","전북","2018 년","3067.9",
"A/Bⅹ100,000","전북","2019 년","3189.4",
"A/Bⅹ100,000","전북","2020 년","3115.7",
"A/Bⅹ100,000","전남","2014 년","3771",
"A/Bⅹ100,000","전남","2015 년","4174",
"A/Bⅹ100,000","전남","2016 년","3926.3",
"A/Bⅹ100,000","전남","2017 년","3407.4",
"A/Bⅹ100,000","전남","2018 년","3501.5",
"A/Bⅹ100,000","전남","2019 년","3669.1",
"A/Bⅹ100,000","전남","2020 년","3642.8",
"A/Bⅹ100,000","경북","2014 년","3536",
"A/Bⅹ100,000","경북","2015 년","3691",
"A/Bⅹ100,000","경북","2016 년","3562.8",
"A/Bⅹ100,000","경북","2017 년","3308.3",
"A/Bⅹ100,000","경북","2018 년","3189.3",
"A/Bⅹ100,000","경북","2019 년","3304.7",
"A/Bⅹ100,000","경북","2020 년","3174.6",
"A/Bⅹ100,000","경남","2014 년","3641",
"A/Bⅹ100,000","경남","2015 년","4308",
"A/Bⅹ100,000","경남","2016 년","4246.8",
"A/Bⅹ100,000","경남","2017 년","3765.6",
"A/Bⅹ100,000","경남","2018 년","3474.9",
"A/Bⅹ100,000","경남","2019 년","3687.4",
"A/Bⅹ100,000","경남","2020 년","3694.6",
"A/Bⅹ100,000","제주","2014 년","5307",
